EVENT_ID,AREAPERIL_ID,INTENSITY_BIN_INDEX,PROB
6,1,3,1
6,11,3,1
6,12,2,1
6,13,2,1
6,14,2,1
6,15,1,1
6,2,2,1
6,21,3,1
6,22,2,1
6,23,2,1
6,24,2,1
6,25,1,1
6,3,2,1
6,31,3,1
6,32,2,1
6,33,2,1
6,34,2,1
6,35,1,1
6,4,2,1
6,41,3,1
6,42,2,1
6,43,2,1
6,44,2,1
6,45,1,1
6,46,1,1
6,5,1,1
6,51,3,1
6,52,3,1
6,53,2,1
6,54,2,1
6,55,2,1
6,56,1,1
6,61,3,1
6,62,3,1
6,63,2,1
6,64,2,1
6,65,2,1
6,66,1,1
6,67,1,1
6,71,3,1
6,72,3,1
6,73,3,1
6,74,2,1
6,75,2,1
6,76,1,1
6,77,1,1
6,81,3,1
6,82,3,1
6,83,3,1
6,84,2,1
6,85,2,1
6,86,2,1
6,87,1,1
6,91,4,1
6,92,3,1
6,93,3,1
6,94,2,1
6,95,2,1
6,96,2,1
6,97,1,1
7,10,4,1
7,100,7,1
7,14,1,1
7,15,2,1
7,16,2,1
7,17,2,1
7,18,3,1
7,19,3,1
7,20,4,1
7,23,1,1
7,24,2,1
7,25,2,1
7,26,3,1
7,27,3,1
7,28,3,1
7,29,4,1
7,30,4,1
7,32,1,1
7,33,2,1
7,34,2,1
7,35,3,1
7,36,3,1
7,37,3,1
7,38,4,1
7,39,4,1
7,4,1,1
7,40,5,1
7,42,1,1
7,43,2,1
7,44,2,1
7,45,3,1
7,46,3,1
7,47,4,1
7,48,5,1
7,49,5,1
7,5,1,1
7,50,5,1
7,52,1,1
7,53,2,1
7,54,3,1
7,55,3,1
7,56,4,1
7,57,4,1
7,58,5,1
7,59,6,1
7,6,2,1
7,60,6,1
7,61,1,1
7,62,2,1
7,63,2,1
7,64,3,1
7,65,3,1
7,66,4,1
7,67,5,1
7,68,6,1
7,69,6,1
7,7,2,1
7,70,7,1
7,71,1,1
7,72,2,1
7,73,2,1
7,74,3,1
7,75,3,1
7,76,4,1
7,77,5,1
7,78,6,1
7,79,7,1
7,8,2,1
7,80,8,1
7,81,1,1
7,82,2,1
7,83,2,1
7,84,3,1
7,85,4,1
7,86,4,1
7,87,5,1
7,88,6,1
7,89,7,1
7,9,3,1
7,90,8,1
